                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.5574,                0.69135,                0.95723,                0.81075,                0.48069,                0.59064,                0.31242,                 1.5974,                0.67427,                 1.0543,                0.00307,                0.00307,                0.00307
                     37,                 1.5423,                0.68485,                0.95427,                0.81489,                0.48121,                 0.5922,                0.31462,                 1.5872,                0.66924,                 1.0476,               0.002872,               0.002872,               0.002872
                     38,                 1.5312,                0.67973,                0.94995,                0.81472,                0.48262,                0.59412,                0.31737,                 1.5812,                0.66425,                  1.043,               0.002674,               0.002674,               0.002674
                     39,                 1.5177,                0.67412,                 0.9474,                0.81823,                 0.4824,                0.59502,                0.31915,                 1.5786,                0.66366,                 1.0461,               0.002476,               0.002476,               0.002476
                     40,                 1.5061,                 0.6684,                0.94402,                0.81582,                0.48398,                0.59601,                 0.3216,                 1.5683,                0.66025,                 1.0429,               0.002278,               0.002278,               0.002278
                     41,                  1.459,                0.64107,                0.94794,                 0.8184,                0.48466,                0.59685,                0.32201,                 1.5689,                 0.6582,                 1.0451,                0.00208,                0.00208,                0.00208
                     42,                 1.4355,                0.63192,                0.94202,                 0.8187,                0.48504,                0.59791,                 0.3238,                 1.5647,                0.65379,                 1.0472,               0.001882,               0.001882,               0.001882
                     43,                  1.418,                0.62427,                0.93636,                0.81873,                0.48744,                0.60004,                 0.3263,                 1.5579,                0.65085,                 1.0456,               0.001684,               0.001684,               0.001684
                     44,                 1.4036,                 0.6178,                0.93303,                0.81833,                 0.4883,                 0.6012,                0.32827,                 1.5523,                0.64829,                 1.0448,               0.001486,               0.001486,               0.001486
                     45,                 1.3856,                0.60844,                0.92863,                0.81827,                0.48948,                0.60254,                0.32977,                 1.5486,                0.64606,                 1.0443,               0.001288,               0.001288,               0.001288
                     46,                 1.3743,                 0.6042,                0.92697,                 0.8209,                0.48956,                0.60353,                0.33143,                 1.5452,                0.64297,                 1.0434,                0.00109,                0.00109,                0.00109
                     47,                 1.3598,                0.59846,                0.92255,                0.82148,                0.49003,                0.60445,                0.33257,                  1.542,                0.64179,                 1.0436,               0.000892,               0.000892,               0.000892
                     48,                 1.3498,                0.59416,                0.92101,                0.82218,                0.49013,                0.60534,                0.33372,                 1.5381,                0.63965,                 1.0432,               0.000694,               0.000694,               0.000694
                     49,                 1.3379,                0.58948,                0.91802,                0.82454,                0.48962,                 0.6057,                0.33451,                 1.5359,                0.63842,                 1.0433,               0.000496,               0.000496,               0.000496
                     50,                 1.3308,                0.58623,                0.91713,                0.82443,                0.49016,                0.60568,                0.33481,                 1.5331,                0.63836,                 1.0405,               0.000298,               0.000298,               0.000298
