                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.3675,                 1.3004,                 1.3323,                 0.5891,                0.33138,                0.40504,                0.15728,                 2.3296,                 1.2538,                 1.3286,              0.0013268,              0.0013268,              0.0013268
                     36,                 2.3601,                 1.2984,                 1.3286,                0.58801,                0.33925,                0.41124,                0.15801,                 2.3291,                 1.2416,                 1.3227,               0.001307,               0.001307,               0.001307
                     37,                 2.3403,                 1.2924,                 1.3289,                0.57828,                0.33236,                0.40192,                0.15702,                 2.3272,                 1.2471,                 1.3261,              0.0012872,              0.0012872,              0.0012872
                     38,                 2.3492,                 1.3037,                 1.3361,                0.59186,                0.33149,                0.40752,                0.15862,                 2.3156,                 1.2373,                 1.3233,              0.0012674,              0.0012674,              0.0012674
                     39,                 2.3353,                 1.3052,                 1.3379,                0.58052,                 0.3307,                0.40303,                0.15734,                 2.3118,                 1.2544,                 1.3282,              0.0012476,              0.0012476,              0.0012476
                     40,                 2.3403,                 1.2876,                 1.3316,                0.59702,                0.33824,                0.41369,                0.16072,                 2.3197,                 1.2345,                 1.3224,              0.0012278,              0.0012278,              0.0012278
                     41,                 2.3462,                 1.2913,                 1.3257,                 0.5645,                 0.3345,                0.40173,                 0.1588,                 2.2899,                 1.2521,                 1.3153,               0.001208,               0.001208,               0.001208
                     42,                 2.3418,                 1.2919,                 1.3248,                0.56942,                 0.3396,                 0.4071,                0.15973,                 2.3034,                 1.2398,                  1.323,              0.0011882,              0.0011882,              0.0011882
                     43,                 2.3279,                 1.2681,                 1.3194,                0.59845,                0.33461,                0.41181,                0.16187,                 2.2887,                 1.2343,                 1.3192,              0.0011684,              0.0011684,              0.0011684
                     44,                 2.3274,                 1.2729,                 1.3096,                0.58933,                 0.3381,                0.41402,                0.16285,                    2.3,                 1.2388,                  1.312,              0.0011486,              0.0011486,              0.0011486
