                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 1.1754,                0.76911,                0.88909,                 0.5421,                0.40651,                0.42848,                0.26047,                 1.1776,                0.81427,                0.88803,               0.006535,               0.006535,               0.006535
                     38,                 1.1729,                0.75946,                0.88969,                0.53218,                0.41093,                0.42819,                0.26086,                 1.1726,                 0.8169,                0.88797,               0.006436,               0.006436,               0.006436
                     39,                  1.172,                0.75632,                0.88944,                0.54703,                0.40638,                0.42918,                0.26042,                 1.1697,                0.81649,                0.88708,               0.006337,               0.006337,               0.006337
                     40,                 1.1682,                0.75296,                0.88816,                0.53597,                0.41114,                0.42629,                0.26021,                 1.1754,                 0.8155,                0.88732,               0.006238,               0.006238,               0.006238
                     41,                 1.1655,                0.74748,                0.88592,                0.54236,                0.41396,                0.43203,                0.26277,                  1.166,                0.80846,                0.88558,               0.006139,               0.006139,               0.006139
                     42,                  1.164,                0.74389,                0.88673,                0.53036,                0.41105,                0.42867,                0.26142,                 1.1647,                0.81283,                0.88523,                0.00604,                0.00604,                0.00604
                     43,                  1.164,                0.74311,                0.88649,                0.55092,                0.41302,                0.43733,                0.26487,                 1.1664,                0.80876,                0.88708,               0.005941,               0.005941,               0.005941
                     44,                 1.1592,                0.73848,                0.88519,                0.54272,                0.41841,                0.43624,                0.26569,                  1.166,                0.81028,                 0.8863,               0.005842,               0.005842,               0.005842
                     45,                 1.1528,                0.72978,                0.88517,                0.53306,                0.42047,                 0.4317,                0.26309,                 1.1659,                0.81192,                0.88654,               0.005743,               0.005743,               0.005743
                     46,                 1.1505,                0.72798,                0.88535,                0.53484,                0.41978,                0.43807,                0.26687,                 1.1602,                0.80447,                0.88528,               0.005644,               0.005644,               0.005644
                     47,                 1.1442,                0.72282,                0.88272,                 0.5357,                0.41818,                0.43582,                0.26549,                 1.1702,                0.80968,                0.88547,               0.005545,               0.005545,               0.005545
