                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.9861,                 1.0931,                0.90768,                0.67927,                0.46788,                0.53194,                  0.231,                 1.9468,                 1.0585,                0.88991,              0.0011585,              0.0011585,              0.0011585
                     36,                 2.0002,                 1.1035,                 0.9062,                0.66302,                0.48059,                0.53103,                0.22793,                  1.943,                 1.0594,                0.88966,              0.0011337,              0.0011337,              0.0011337
                     37,                 2.0016,                 1.1044,                0.90793,                0.67914,                0.46655,                0.52714,                0.22995,                 1.9378,                 1.0586,                0.88807,               0.001109,               0.001109,               0.001109
                     38,                 1.9748,                 1.0842,                0.90443,                 0.6708,                 0.4825,                0.53774,                0.23595,                 1.9188,                 1.0285,                0.88765,              0.0010842,              0.0010842,              0.0010842
                     39,                  1.961,                 1.0839,                0.90741,                0.68676,                0.47119,                0.53465,                0.23169,                 1.9182,                 1.0502,                0.88876,              0.0010595,              0.0010595,              0.0010595
                     40,                 1.9557,                 1.0643,                0.90161,                0.68416,                0.48071,                0.53808,                0.23381,                 1.9276,                 1.0333,                0.88756,              0.0010347,              0.0010347,              0.0010347
                     41,                 1.9558,                 1.0689,                0.90508,                0.68837,                0.48328,                0.53978,                 0.2346,                 1.9291,                 1.0306,                0.88659,                0.00101,                0.00101,                0.00101
                     42,                 1.9508,                 1.0622,                0.90105,                0.68813,                0.48107,                0.53941,                0.23577,                 1.9146,                 1.0342,                0.88518,             0.00098525,             0.00098525,             0.00098525
                     43,                 1.9505,                 1.0571,                0.90312,                0.68844,                0.47993,                0.54487,                0.23704,                 1.9142,                 1.0235,                0.88699,              0.0009605,              0.0009605,              0.0009605
                     44,                 1.9306,                 1.0545,                0.89709,                0.68726,                0.47963,                 0.5401,                0.23707,                  1.918,                 1.0251,                0.88656,             0.00093575,             0.00093575,             0.00093575
                     45,                 1.9393,                 1.0477,                0.89922,                0.69035,                0.48923,                0.54674,                0.24004,                 1.9005,                 1.0153,                0.88254,               0.000911,               0.000911,               0.000911
                     46,                 1.9182,                 1.0365,                0.89505,                0.69326,                0.48794,                0.54865,                0.24177,                 1.9015,                 1.0159,                0.88468,             0.00088625,             0.00088625,             0.00088625
                     47,                 1.9214,                 1.0464,                0.89723,                0.68952,                0.47695,                0.54382,                0.24064,                 1.8975,                  1.025,                0.88293,              0.0008615,              0.0008615,              0.0008615
                     48,                  1.908,                 1.0307,                0.89614,                0.69432,                0.48858,                0.55203,                 0.2428,                 1.9003,                 1.0142,                0.88495,             0.00083675,             0.00083675,             0.00083675
                     49,                  1.907,                 1.0316,                0.89856,                0.69015,                0.49461,                0.55339,                0.24355,                  1.905,                 1.0121,                0.88543,               0.000812,               0.000812,               0.000812
                     50,                 1.9024,                 1.0203,                 0.8956,                0.71154,                0.48128,                0.55169,                0.24356,                 1.8971,                 1.0062,                0.88236,             0.00078725,             0.00078725,             0.00078725
                     51,                 1.8947,                 1.0201,                0.89114,                0.69667,                0.49195,                0.55526,                0.24625,                   1.89,                 1.0089,                0.88185,              0.0007625,              0.0007625,              0.0007625
