                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0524,                0.60559,                  0.864,                0.55741,                0.41881,                0.43882,                0.26552,                 1.1603,                 0.8166,                0.88704,             0.00023334,             0.00023334,             0.00023334
                     37,                 1.0527,                0.60697,                0.86316,                0.55547,                0.41677,                0.43803,                0.26675,                 1.1574,                0.82035,                0.88673,              0.0002192,              0.0002192,              0.0002192
                     38,                 1.0501,                0.60219,                0.86384,                0.55277,                0.42621,                0.44199,                0.26893,                 1.1618,                0.81239,                0.88841,             0.00020506,             0.00020506,             0.00020506
                     39,                 1.0465,                 0.5965,                0.86339,                0.56518,                0.41005,                0.43784,                0.26487,                 1.1646,                0.81572,                0.88838,             0.00019092,             0.00019092,             0.00019092
                     40,                 1.0438,                0.59369,                0.86266,                0.56054,                  0.416,                 0.4373,                0.26493,                 1.1632,                0.82066,                0.88854,             0.00017679,             0.00017679,             0.00017679
                     41,                  1.035,                 0.5757,                0.86222,                0.55453,                0.41448,                0.43588,                0.26377,                 1.1684,                0.82381,                 0.8902,             0.00016265,             0.00016265,             0.00016265
                     42,                 1.0278,                 0.5672,                  0.863,                 0.5514,                0.41886,                0.43559,                0.26332,                 1.1665,                0.82355,                0.88913,             0.00014851,             0.00014851,             0.00014851
                     43,                  1.018,                0.55944,                   0.86,                0.55898,                0.41995,                0.43727,                0.26398,                 1.1697,                0.82175,                0.88898,             0.00013437,             0.00013437,             0.00013437
                     44,                 1.0166,                0.55755,                0.85925,                0.54194,                0.42374,                0.43438,                0.26285,                 1.1694,                0.82475,                0.88929,             0.00012024,             0.00012024,             0.00012024
                     45,                 1.0115,                0.55075,                0.85914,                0.55086,                0.41938,                0.43516,                0.26281,                 1.1703,                0.83305,                0.88889,              0.0001061,              0.0001061,              0.0001061
                     46,                 1.0087,                0.54713,                 0.8572,                0.55122,                0.41986,                0.43733,                0.26475,                 1.1684,                0.82996,                0.88951,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     47,                 1.0003,                0.54127,                0.85617,                0.56227,                0.41295,                 0.4369,                0.26416,                 1.1692,                0.82994,                0.88937,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     48,                0.99696,                 0.5377,                0.85536,                0.55389,                0.42099,                0.43521,                0.26345,                 1.1692,                0.83079,                0.88912,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     49,                0.99416,                0.53539,                0.85511,                0.54445,                0.42127,                0.43695,                0.26398,                 1.1701,                0.83158,                  0.889,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     50,                0.99088,                0.53143,                0.85349,                0.56515,                0.41554,                 0.4377,                 0.2641,                 1.1704,                0.82773,                0.88935,             3.5414e-05,             3.5414e-05,             3.5414e-05
